"","psi","phi","d","b1","b2","b3","b4","b5","b6","b7","b8","status"
"C:2",0.231479256,-0.171572854666667,3.06805785833333,-0.0263282461472837,-0.1904143543515,-0.340086466166667,-0.49612767905,-1.12830058158667,-0.821281965333333,-0.57609493215,-1.669241196623,"cancelled"
"C:3",0.221788225,-0.300897642666667,2.96816455333333,-1.242786108,-0.591881117766667,-1.31564784166667,-0.734606361166667,-0.09603856475525,-1.3952232945,-0.993357852,-0.966910568012833,"cancelled"
"C:4",0.1579818275,-0.135458090558333,2.26244289,1.38003739316667,0.831313989,1.0764048865,1.200487719,-0.74617506171655,1.23250373216667,1.133587052,-0.535764720894333,"cancelled"
"C:5",0.197870326333333,-0.215681026833333,2.36213991333333,0.308024486556333,0.05860698051705,0.608907922333333,-0.0899203725021333,1.4354407979,0.297317327902267,0.302017780585667,-0.95240957932995,"cancelled"
"C:6",0.221187880333333,-0.187109432333333,2.39271278666667,-0.408774091858633,0.197993001912833,0.0309153367096167,0.2850596584215,-2.10583343298617,0.415204746461667,-0.337153591662783,-0.957262536468067,"cancelled"
"C:7",0.194850825666667,-0.265700224666667,2.10563517333333,0.66059238975,1.05517087666667,0.680501657166667,1.05914967666667,0.386615646010833,1.54915920383333,1.17910294366667,-0.953890696164,"cancelled"
"C:8",0.237136884333333,-0.105601656633333,2.72588867166667,0.527141354,0.669049296816667,0.0853158895053333,0.366834851266667,0.437658601410167,0.495933634183333,0.624356133546667,-0.955351260927132,"cancelled"
"C:9",0.206956838833333,-0.309434578333333,2.05399508166667,0.675814281233333,1.0618793775,0.4686407345,0.550114071783333,0.191143285051333,0.6135120563485,-0.10967228763649,-0.933984782820167,"cancelled"
"C:10",0.180767215166667,-0.171155827216667,2.61293521,0.515126553923333,0.502313727408333,0.885373901666667,0.626224158333333,-0.5270190776019,0.373328843214,1.2717686915,-0.9441117355245,"cancelled"
"C:11",0.2066001215,-0.315860987666667,2.58199397,-1.22367108133333,0.10251799836345,-0.787069769666667,-0.8230127385,1.21334794936833,-0.413677294733667,0.0025208088748,-1.19356648321533,"cancelled"
"C:12",0.173694009166667,-0.17798279135,2.26861569833333,0.77264853285,0.514527129820517,0.188352010678732,0.922865248833333,1.60631065183333,0.885477311666667,1.0546982185,-0.933428200831667,"cancelled"
"C:13",0.181381597833333,-0.345140837166667,2.33188793166667,-0.82078684335,1.28715386916667,-0.532151856333333,-0.310178792854533,-1.23720724194128,-1.15366335826667,-0.214250902156833,-0.9323812096635,"cancelled"
"C:14",0.157893273666667,-0.224433632833333,2.57008418,0.34861416409,0.548176668608183,0.226866762081333,-0.031133338091835,0.775511659912667,0.735513960036667,0.721053530335,-0.929525343349,"cancelled"
"C:15",0.2076663765,0.0701623228629667,2.29790476166667,1.50404193783333,1.639932588,1.870910295,2.01243214833333,0.761221593518833,1.76168788,1.54034805016667,-0.918790062379,"cancelled"
"C:16",0.215628196166667,-0.461535716333333,2.604456565,-0.991834374333333,-1.07904143816667,-1.06282044383333,-1.27709705516667,-2.20532289,-1.55796354516667,-2.680794235,-0.171737315409167,"cancelled"
"C:17",0.174680564166667,-0.18643495355,2.111789825,1.10434323783333,1.28059993166667,0.437151617483333,0.269921565149667,-1.2433348104035,1.79190708833333,1.280425587,-0.940124967737333,"cancelled"
"C:18",0.181920808166667,-0.214173205333333,3.31411418666667,-1.06914481716667,-1.63826129733333,-0.6636326935,-0.107505539250167,-1.12897674359783,-0.645052940066667,-0.0451174916997833,-0.953953779355,"cancelled"
"C:19",0.198508067166667,-0.301938392333333,2.957998075,-1.57196199466667,-0.4905217218815,-1.10854727816667,-0.336456607787833,-1.90335228926667,-1.69890138733333,-2.12297345833333,-1.99944598681667,"cancelled"
"C:20",0.177281084166667,-0.170201571633333,3.182160165,1.15119846183333,-0.218994852431,0.416330694833333,0.500225592733333,2.12623890279333,0.973845923166667,-0.369035561741,-0.964964485152917,"cancelled"
